Berm	Subbasin	Reach	Dead_D	Dead_V	Dead_A	Dead_Q	Prin_D	Prin_V	Prin_A	Prin_Q	Emerg_D	Emerg_V	Emerg_A	Day_ Cap	Rece_R	File_name
1	1	1	0.00	0	0.0000	0.000	0.67	190	0.0693	0.034	0.67	190	0.0693	2938	6	berm001.dat
2	4	4	0.00	0	0.0000	0.000	0.62	81	0.0499	0.030	0.62	81	0.0499	2592	5	berm004.dat
3	7	7	0.00	0	0.0000	0.000	0.58	154	0.0716	0.027	0.58	154	0.0716	2333	5	berm007.dat
4	9	9	0.00	0	0.0000	0.000	1.18	2625	0.5160	0.079	1.18	2625	0.5160	6826	5	berm009.dat
5	10	10	0.00	0	0.0000	0.000	1.10	2655	0.5580	0.071	1.10	2655	0.5580	6134	5	berm010.dat
6	14	14	0.00	0	0.0000	0.000	0.46	82	0.0530	0.019	0.46	82	0.0530	1642	19	berm014.dat
7	15	15	0.00	0	0.0000	0.000	0.94	812	0.2371	0.056	0.94	812	0.2371	4838	19	berm015.dat
8	20	20	0.00	0	0.0000	0.000	1.00	2747	0.4945	0.102	1.00	2747	0.4945	8813	47	berm020.dat
9	21	21	0.00	0	0.0000	0.000	0.66	267	0.1172	0.033	0.66	267	0.1172	2851	30	berm021.dat
10	22	22	0.00	0	0.0000	0.000	0.68	560	0.1805	0.034	0.68	560	0.1805	2938	47	berm022.dat
11	23	23	0.00	0	0.0000	0.000	1.98	10602	1.1586	0.173	1.98	10602	1.1586	14947	47	berm023.dat
12	25	25	0.00	0	0.0000	0.000	1.00	4987	1.3000	0.062	1.00	4987	1.3000	5357	30	berm025.dat
13	27	27	0.00	0	0.0000	0.000	1.49	2129	0.3579	0.112	1.49	2129	0.3579	9677	47	berm027.dat
14	28	28	0.00	0	0.0000	0.000	1.07	3923	0.9690	0.068	1.07	3923	0.9690	5875	47	berm028.dat
15	29	29	0.00	0	0.0000	0.000	1.40	153	0.0552	0.038	1.40	153	0.0552	3283	47	berm029.dat
16	32	32	0.00	0	0.0000	0.000	0.99	4280	0.9069	0.061	0.99	4280	0.9069	5270	47	berm032.dat
17	36	36	0.00	0	0.0000	0.000	0.86	506	0.1842	0.049	0.86	506	0.1842	4234	47	berm036.dat
18	40	40	0.00	0	0.0000	0.000	0.60	505	0.1983	0.028	0.60	505	0.1983	2419	47	berm040.dat
19	41	41	0.00	0	0.0000	0.000	0.71	352	0.1117	0.037	0.71	352	0.1117	3197	47	berm041.dat
20	42	42	0.00	0	0.0000	0.000	0.48	342	0.1491	0.020	0.48	342	0.1491	1728	47	berm042.dat
21	43	43	0.00	0	0.0000	0.000	0.26	30	0.0276	0.008	0.26	30	0.0276	691	37	berm043.dat
22	44	44	0.00	0	0.0000	0.000	0.53	91	0.0428	0.024	0.53	91	0.0428	2074	51	berm044.dat
23	46	46	0.00	0	0.0000	0.000	0.58	234	0.1194	0.027	0.58	234	0.1194	2333	51	berm046.dat
24	48	48	0.00	0	0.0000	0.000	0.64	103	0.0747	0.031	0.64	103	0.0747	2678	51	berm048.dat
25	50	50	0.00	0	0.0000	0.000	0.51	176	0.1067	0.022	0.51	176	0.1067	1901	51	berm050.dat
26	53	53	0.00	0	0.0000	0.000	0.79	351	0.0933	0.043	0.79	351	0.0933	3715	46	berm053.dat
27	55	55	0.00	0	0.0000	0.000	0.31	40	0.0309	0.011	0.31	40	0.0309	950	46	berm055.dat
28	56	56	0.00	0	0.0000	0.000	1.01	597	0.1455	0.063	1.01	597	0.1455	5443	46	berm056.dat
29	57	57	0.00	0	0.0000	0.000	1.40	6068	1.1640	0.102	1.40	6068	1.1640	8813	61	berm057.dat
30	59	59	0.00	0	0.0000	0.000	1.00	1567	0.4113	0.062	1.00	1567	0.4113	5357	46	berm059.dat
31	60	60	0.00	0	0.0000	0.000	0.75	873	0.3066	0.040	0.75	873	0.3066	3456	46	berm060.dat
32	64	64	0.00	0	0.0000	0.000	0.87	640	0.2137	0.050	0.87	640	0.2137	4320	62	berm064.dat
