V-S-D
                      0
                      0
                      0      0.00000          0.000
                      2      0.00344          0.002
                     14      0.01266          0.007
                     43      0.02597          0.015
                     91      0.04278          0.024

















                                                                                                                                                                                                                           E
